,Sample,CloudPercenatge,sample_std
1995,target_31TBF_2017-09-19_2018-02-15_1081_1209_3769_3897_16_96_58_138.npz,61.0,0.055
1996,target_31TBF_2017-09-19_2018-02-15_1337_1465_2745_2873_20_100_42_122.npz,63.0,0.024
1997,target_31TBF_2017-09-19_2018-02-15_1593_1721_2873_3001_24_104_44_124.npz,59.0,0.02
1998,target_31TBF_2017-09-19_2018-02-15_1849_1977_3257_3385_28_108_50_130.npz,62.0,0.027
1999,target_31TBF_2017-09-19_2018-02-15_2361_2489_1337_1465_36_116_20_100.npz,43.0,0.015
2000,target_31TBF_2017-09-19_2018-02-15_2873_3001_3129_3257_44_124_48_128.npz,51.0,0.031
2001,target_31TBF_2017-09-19_2018-02-15_3001_3129_185_313_46_126_2_82.npz,57.0,0.038
2002,target_31TBF_2017-09-19_2018-02-15_3897_4025_825_953_60_140_12_92.npz,59.0,0.075
2003,target_31TBF_2017-09-19_2018-02-15_4153_4281_1977_2105_64_144_30_110.npz,58.0,0.06
2004,target_31TBF_2017-09-19_2018-02-15_4153_4281_313_441_64_144_4_84.npz,61.0,0.07
2005,target_31TBF_2017-09-19_2018-02-15_5305_5433_1081_1209_82_162_16_96.npz,60.0,0.08
2006,target_31TBF_2017-09-19_2018-02-15_697_825_4409_4537_10_90_68_148.npz,50.0,0.024
2007,target_31TBF_2017-09-19_2018-02-15_953_1081_1209_1337_14_94_18_98.npz,56.0,0.052
2008,target_31TBF_2017-09-29_2018-02-25_1465_1593_1849_1977_22_102_28_108.npz,52.0,0.013
2009,target_31TBF_2017-09-29_2018-02-25_3129_3257_2873_3001_48_128_44_124.npz,61.0,0.035
2010,target_31TBF_2017-09-29_2018-02-25_3769_3897_1849_1977_58_138_28_108.npz,62.0,0.098
2011,target_31TBF_2017-09-29_2018-02-25_3769_3897_5049_5177_58_138_78_158.npz,56.0,0.047
2012,target_31TBF_2017-09-29_2018-02-25_4153_4281_4921_5049_64_144_76_156.npz,46.0,0.022
2013,target_31TBF_2017-09-29_2018-02-25_4665_4793_1849_1977_72_152_28_108.npz,69.0,0.09
2014,target_31TBF_2017-09-29_2018-02-25_4921_5049_1977_2105_76_156_30_110.npz,63.0,0.068
2015,target_31TBF_2017-09-29_2018-02-25_5305_5433_4153_4281_82_162_64_144.npz,55.0,0.032
2016,target_31TBF_2017-09-29_2018-02-25_57_185_3513_3641_0_80_54_134.npz,47.0,0.011
2017,target_31TBF_2017-09-29_2018-02-25_57_185_4793_4921_0_80_74_154.npz,54.0,0.032
2018,target_31TBF_2017-10-09_2018-03-07_1849_1977_3001_3129_28_108_46_126.npz,49.0,0.023
2019,target_31TBF_2017-10-09_2018-03-07_185_313_1849_1977_2_82_28_108.npz,67.0,0.012
2020,target_31TBF_2017-10-09_2018-03-07_2745_2873_5049_5177_42_122_78_158.npz,67.0,0.051
2021,target_31TBF_2017-10-09_2018-03-07_2873_3001_57_185_44_124_0_80.npz,61.0,0.027
2022,target_31TBF_2017-10-09_2018-03-07_3001_3129_3257_3385_46_126_50_130.npz,66.0,0.031
2023,target_31TBF_2017-10-09_2018-03-07_3385_3513_5049_5177_52_132_78_158.npz,49.0,0.05
2024,target_31TBF_2017-10-09_2018-03-07_4281_4409_4025_4153_66_146_62_142.npz,51.0,0.026
2025,target_31TBF_2017-10-09_2018-03-07_4409_4537_3897_4025_68_148_60_140.npz,51.0,0.018
2026,target_31TBF_2017-10-09_2018-03-07_4409_4537_4025_4153_68_148_62_142.npz,51.0,0.039
2027,target_31TBF_2017-10-09_2018-03-07_5305_5433_2745_2873_82_162_42_122.npz,63.0,0.107
2028,target_31TBF_2017-10-09_2018-03-07_57_185_5177_5305_0_80_80_160.npz,50.0,0.027
2029,target_31TBF_2017-10-19_2018-03-17_1081_1209_2105_2233_16_96_32_112.npz,51.0,0.034
2030,target_31TBF_2017-10-19_2018-03-17_1081_1209_4665_4793_16_96_72_152.npz,64.0,0.052
2031,target_31TBF_2017-10-19_2018-03-17_1209_1337_1849_1977_18_98_28_108.npz,59.0,0.046
2032,target_31TBF_2017-10-19_2018-03-17_1721_1849_1465_1593_26_106_22_102.npz,61.0,0.05
2033,target_31TBF_2017-10-19_2018-03-17_2361_2489_4281_4409_36_116_66_146.npz,57.0,0.057
2034,target_31TBF_2017-10-19_2018-03-17_953_1081_1977_2105_14_94_30_110.npz,59.0,0.016
2035,target_31TBF_2017-10-29_2018-03-27_2105_2233_1593_1721_32_112_24_104.npz,55.0,0.033
2036,target_31TBF_2017-10-29_2018-03-27_2361_2489_4793_4921_36_116_74_154.npz,62.0,0.045
2037,target_31TBF_2017-10-29_2018-03-27_5305_5433_3129_3257_82_162_48_128.npz,57.0,0.052
2038,target_31TBF_2017-11-08_2018-04-06_1593_1721_185_313_24_104_2_82.npz,47.0,0.024
2039,target_31TBF_2017-11-08_2018-04-06_1849_1977_1209_1337_28_108_18_98.npz,54.0,0.015
2040,target_31TBF_2017-11-08_2018-04-06_1849_1977_569_697_28_108_8_88.npz,45.0,0.021
2041,target_31TBF_2017-11-08_2018-04-06_1977_2105_2105_2233_30_110_32_112.npz,41.0,0.064
2042,target_31TBF_2017-11-08_2018-04-06_569_697_1977_2105_8_88_30_110.npz,43.0,0.031
2043,target_31TBF_2017-11-08_2018-04-06_57_185_313_441_0_80_4_84.npz,55.0,0.028
2044,target_31TBF_2017-11-08_2018-04-06_825_953_697_825_12_92_10_90.npz,49.0,0.024
2045,target_31TBF_2017-11-08_2018-04-06_953_1081_1337_1465_14_94_20_100.npz,46.0,0.016
2046,target_31TBF_2017-11-18_2018-04-16_1209_1337_1081_1209_18_98_16_96.npz,51.0,0.014
2047,target_31TBF_2017-11-18_2018-04-16_2233_2361_1209_1337_34_114_18_98.npz,49.0,0.023
2048,target_31TBF_2017-11-18_2018-04-16_2617_2745_441_569_40_120_6_86.npz,53.0,0.034
2049,target_31TBF_2017-11-18_2018-04-16_2745_2873_1209_1337_42_122_18_98.npz,39.0,0.013
2050,target_31TBF_2017-11-18_2018-04-16_5305_5433_3641_3769_82_162_56_136.npz,57.0,0.059
2051,target_31TBF_2017-11-18_2018-04-16_57_185_441_569_0_80_6_86.npz,57.0,0.028
2052,target_31TBF_2017-11-28_2018-04-26_1465_1593_569_697_22_102_8_88.npz,41.0,0.018
2053,target_31TBF_2017-11-28_2018-04-26_2617_2745_953_1081_40_120_14_94.npz,41.0,0.016
2054,target_31TBF_2017-12-03_2018-05-01_2745_2873_1081_1209_42_122_16_96.npz,40.0,0.038
2055,target_31TBF_2017-12-03_2018-05-01_4793_4921_4409_4537_74_154_68_148.npz,52.0,0.059
2056,target_31TBF_2017-12-08_2018-05-06_1209_1337_3513_3641_18_98_54_134.npz,54.0,0.033
2057,target_31TBF_2017-12-08_2018-05-06_185_313_1977_2105_2_82_30_110.npz,50.0,0.019
2058,target_31TBF_2017-12-08_2018-05-06_2617_2745_1465_1593_40_120_22_102.npz,45.0,0.049
2059,target_31TBF_2017-12-08_2018-05-06_4281_4409_4409_4537_66_146_68_148.npz,52.0,0.061
2060,target_31TBF_2017-12-08_2018-05-06_4281_4409_4537_4665_66_146_70_150.npz,47.0,0.051
2061,target_31TBF_2017-12-08_2018-05-06_4793_4921_3897_4025_74_154_60_140.npz,51.0,0.045
2062,target_31TBF_2017-12-13_2018-05-11_2489_2617_1465_1593_38_118_22_102.npz,52.0,0.053
2063,target_31TBF_2017-12-13_2018-05-11_2745_2873_1593_1721_42_122_24_104.npz,48.0,0.053
2064,target_31TBF_2017-12-13_2018-05-11_3129_3257_441_569_48_128_6_86.npz,52.0,0.025
2065,target_31TBF_2017-12-23_2018-05-21_1209_1337_3385_3513_18_98_52_132.npz,45.0,0.026
2066,target_31TBF_2017-12-23_2018-05-21_1977_2105_57_185_30_110_0_80.npz,30.0,0.036
2067,target_31TBF_2017-12-23_2018-05-21_3001_3129_825_953_46_126_12_92.npz,47.0,0.043
2068,target_31TBF_2017-12-28_2018-05-26_1593_1721_1593_1721_24_104_24_104.npz,35.0,0.037
2069,target_31TBF_2017-12-28_2018-05-26_1721_1849_2105_2233_26_106_32_112.npz,42.0,0.049
2070,target_31TBF_2017-12-28_2018-05-26_1849_1977_4409_4537_28_108_68_148.npz,54.0,0.039
2071,target_31TBF_2017-12-28_2018-05-26_2105_2233_4153_4281_32_112_64_144.npz,57.0,0.048
2072,target_31TBF_2017-12-28_2018-05-26_3001_3129_1209_1337_46_126_18_98.npz,45.0,0.035
2073,target_31TBF_2017-12-28_2018-05-26_4409_4537_4537_4665_68_148_70_150.npz,52.0,0.05
2074,target_31TBF_2017-12-28_2018-05-26_569_697_2233_2361_8_88_34_114.npz,35.0,0.026
2075,target_31TBF_2017-12-28_2018-05-26_569_697_57_185_8_88_0_80.npz,35.0,0.032
2076,target_31TBF_2017-12-28_2018-05-26_697_825_5305_5433_10_90_82_162.npz,54.0,0.033
2077,target_31TBF_2018-01-07_2018-06-05_1337_1465_569_697_20_100_8_88.npz,35.0,0.049
2078,target_31TBF_2018-01-07_2018-06-05_2617_2745_3385_3513_40_120_52_132.npz,52.0,0.05
2079,target_31TBF_2018-01-07_2018-06-05_3129_3257_697_825_48_128_10_90.npz,51.0,0.054
2080,target_31TBF_2018-01-07_2018-06-05_697_825_57_185_10_90_0_80.npz,41.0,0.034
2081,target_31TBF_2018-01-17_2018-06-15_1465_1593_1593_1721_22_102_24_104.npz,45.0,0.038
2082,target_31TBF_2018-01-27_2018-06-25_1209_1337_1977_2105_18_98_30_110.npz,34.0,0.026
2083,target_31TBF_2018-01-27_2018-06-25_1337_1465_3897_4025_20_100_60_140.npz,53.0,0.067
2084,target_31TBF_2018-01-27_2018-06-25_1337_1465_4665_4793_20_100_72_152.npz,45.0,0.05
2085,target_31TBF_2018-01-27_2018-06-25_1721_1849_2361_2489_26_106_36_116.npz,41.0,0.033
2086,target_31TBF_2018-01-27_2018-06-25_1849_1977_5177_5305_28_108_80_160.npz,46.0,0.057
2087,target_31TBF_2018-01-27_2018-06-25_185_313_4537_4665_2_82_70_150.npz,50.0,0.027
2088,target_31TBF_2018-01-27_2018-06-25_2873_3001_3513_3641_44_124_54_134.npz,49.0,0.068
2089,target_31TBF_2018-01-27_2018-06-25_2873_3001_3769_3897_44_124_58_138.npz,51.0,0.047
2090,target_31TBF_2018-01-27_2018-06-25_2873_3001_4537_4665_44_124_70_150.npz,62.0,0.062
2091,target_31TBF_2018-01-27_2018-06-25_3385_3513_5305_5433_52_132_82_162.npz,50.0,0.026
2092,target_31TBF_2018-01-27_2018-06-25_3641_3769_313_441_56_136_4_84.npz,51.0,0.042
2093,target_31TBF_2018-01-27_2018-06-25_3769_3897_4793_4921_58_138_74_154.npz,46.0,0.033
2094,target_31TBF_2018-01-27_2018-06-25_4281_4409_57_185_66_146_0_80.npz,55.0,0.053
2095,target_31TBF_2018-01-27_2018-06-25_4665_4793_4409_4537_72_152_68_148.npz,50.0,0.04
2096,target_31TBF_2018-02-06_2018-07-05_1849_1977_697_825_28_108_10_90.npz,30.0,0.027
2097,target_31TBF_2018-02-06_2018-07-05_697_825_1465_1593_10_90_22_102.npz,30.0,0.027
2098,target_31TBF_2018-03-28_2018-08-24_185_313_3257_3385_2_82_50_130.npz,22.0,0.03
2099,target_31TBF_2018-04-17_2018-09-13_2105_2233_2489_2617_32_112_38_118.npz,15.0,0.013
2100,target_31TBF_2018-04-27_2018-09-23_1337_1465_1465_1593_20_100_22_102.npz,6.0,0.007
2101,target_31TBF_2018-04-27_2018-09-23_1593_1721_953_1081_24_104_14_94.npz,14.0,0.014
2102,target_31TBF_2018-05-02_2018-09-28_57_185_2105_2233_0_80_32_112.npz,12.0,0.021
2103,target_31TBF_2018-05-07_2018-10-03_825_953_1721_1849_12_92_26_106.npz,13.0,0.01
2104,target_31TBF_2018-05-22_2018-10-18_1593_1721_1465_1593_24_104_22_102.npz,17.0,0.01
2105,target_31TBF_2018-08-05_2019-01-01_569_697_1593_1721_8_88_24_104.npz,61.0,0.03
2106,target_31TBF_2018-08-15_2019-01-11_697_825_1081_1209_10_90_16_96.npz,65.0,0.028
2107,target_31TBF_2018-09-04_2019-01-31_1465_1593_1465_1593_22_102_22_102.npz,63.0,0.029
2108,target_31TBF_2018-09-04_2019-01-31_2105_2233_1465_1593_32_112_22_102.npz,58.0,0.028
2109,target_31TBF_2018-09-04_2019-01-31_2105_2233_4025_4153_32_112_62_142.npz,69.0,0.055
2110,target_31TBF_2018-09-04_2019-01-31_2361_2489_1081_1209_36_116_16_96.npz,49.0,0.043
2111,target_31TBF_2018-09-04_2019-01-31_2873_3001_1337_1465_44_124_20_100.npz,45.0,0.028
2112,target_31TBF_2018-09-04_2019-01-31_313_441_1337_1465_4_84_20_100.npz,54.0,0.044
2113,target_31TBF_2018-09-04_2019-01-31_4921_5049_2745_2873_76_156_42_122.npz,55.0,0.093
2114,target_31TBF_2018-09-04_2019-01-31_5177_5305_4537_4665_80_160_70_150.npz,49.0,0.034
2115,target_31TBF_2018-09-04_2019-01-31_569_697_1977_2105_8_88_30_110.npz,52.0,0.033
2116,target_31TBF_2018-09-04_2019-01-31_953_1081_1337_1465_14_94_20_100.npz,57.0,0.038
2117,target_31TBF_2018-09-14_2019-02-10_1081_1209_697_825_16_96_10_90.npz,64.0,0.03
2118,target_31TBF_2018-09-14_2019-02-10_2105_2233_1849_1977_32_112_28_108.npz,60.0,0.025
2119,target_31TBF_2018-09-14_2019-02-10_4793_4921_4281_4409_74_154_66_146.npz,51.0,0.035
2120,target_31TBF_2018-09-24_2019-02-20_697_825_4281_4409_10_90_66_146.npz,59.0,0.023
2121,target_31TBF_2018-10-09_2019-03-07_697_825_1977_2105_10_90_30_110.npz,53.0,0.032
2122,target_31TBF_2018-10-19_2019-03-17_4153_4281_4793_4921_64_144_74_154.npz,35.0,0.038
2123,target_31TBF_2018-10-24_2019-03-22_3641_3769_1209_1337_56_136_18_98.npz,30.0,0.032
2124,target_31TBF_2018-10-24_2019-03-22_5177_5305_3513_3641_80_160_54_134.npz,22.0,0.017
2125,target_31TBF_2018-11-03_2019-04-01_1081_1209_1337_1465_16_96_20_100.npz,54.0,0.014
2126,target_31TBF_2018-11-03_2019-04-01_2617_2745_1209_1337_40_120_18_98.npz,29.0,0.035
2127,target_31TBF_2018-11-03_2019-04-01_57_185_697_825_0_80_10_90.npz,56.0,0.021
2128,target_31TBF_2018-11-13_2019-04-11_3129_3257_569_697_48_128_8_88.npz,27.0,0.04
2129,target_31TBF_2018-11-23_2019-04-21_2105_2233_1081_1209_32_112_16_96.npz,41.0,0.042
2130,target_31TBF_2018-12-03_2019-05-01_2361_2489_4921_5049_36_116_76_156.npz,32.0,0.032
2131,target_31TBF_2018-12-03_2019-05-01_2745_2873_1465_1593_42_122_22_102.npz,36.0,0.046
2132,target_31TBF_2018-12-03_2019-05-01_3001_3129_5049_5177_46_126_78_158.npz,24.0,0.016
2133,target_31TBF_2018-12-03_2019-05-01_313_441_2361_2489_4_84_36_116.npz,37.0,0.024
2134,target_31TBF_2018-12-03_2019-05-01_5049_5177_3897_4025_78_158_60_140.npz,40.0,0.058
2135,target_31TBF_2018-12-03_2019-05-01_569_697_313_441_8_88_4_84.npz,48.0,0.021
2136,target_31TBF_2018-12-03_2019-05-01_697_825_2233_2361_10_90_34_114.npz,39.0,0.034
2137,target_31TBF_2018-12-03_2019-05-01_825_953_4921_5049_12_92_76_156.npz,37.0,0.05
2138,target_31TBF_2018-12-03_2019-05-01_953_1081_185_313_14_94_2_82.npz,46.0,0.042
2139,target_31TBF_2018-12-13_2019-05-11_1209_1337_569_697_18_98_8_88.npz,47.0,0.052
2140,target_31TBF_2018-12-13_2019-05-11_1593_1721_1081_1209_24_104_16_96.npz,44.0,0.038
2141,target_31TBF_2018-12-13_2019-05-11_2233_2361_3513_3641_34_114_54_134.npz,29.0,0.035
2142,target_31TBF_2018-12-13_2019-05-11_3257_3385_3385_3513_50_130_52_132.npz,40.0,0.047
2143,target_31TBF_2018-12-13_2019-05-11_5049_5177_3257_3385_78_158_50_130.npz,34.0,0.051
2144,target_31TBF_2018-12-23_2019-05-21_1465_1593_1849_1977_22_102_28_108.npz,42.0,0.036
2145,target_31TBF_2018-12-23_2019-05-21_1593_1721_57_185_24_104_0_80.npz,48.0,0.051
2146,target_31TBF_2018-12-23_2019-05-21_2489_2617_2617_2745_38_118_40_120.npz,39.0,0.049
2147,target_31TBF_2018-12-23_2019-05-21_4921_5049_3513_3641_76_156_54_134.npz,37.0,0.034
2148,target_31TBF_2018-12-23_2019-05-21_953_1081_2489_2617_14_94_38_118.npz,42.0,0.035
2149,target_31TBF_2018-12-23_2019-05-21_953_1081_57_185_14_94_0_80.npz,44.0,0.032
2150,target_31TBF_2018-12-23_2019-05-21_953_1081_697_825_14_94_10_90.npz,48.0,0.027
2151,target_31TBF_2019-01-02_2019-05-31_1209_1337_3641_3769_18_98_56_136.npz,29.0,0.039
2152,target_31TBF_2019-01-02_2019-05-31_185_313_1849_1977_2_82_28_108.npz,37.0,0.024
2153,target_31TBF_2019-01-02_2019-05-31_2489_2617_4921_5049_38_118_76_156.npz,33.0,0.038
2154,target_31TBF_2019-01-02_2019-05-31_57_185_4025_4153_0_80_62_142.npz,32.0,0.021
2155,target_31TBF_2019-01-02_2019-05-31_697_825_5049_5177_10_90_78_158.npz,37.0,0.045
2156,target_31TBF_2019-01-12_2019-06-10_1081_1209_4665_4793_16_96_72_152.npz,42.0,0.06
2157,target_31TBF_2019-01-12_2019-06-10_1209_1337_4537_4665_18_98_70_150.npz,40.0,0.061
2158,target_31TBF_2019-01-12_2019-06-10_1721_1849_5305_5433_26_106_82_162.npz,45.0,0.084
2159,target_31TBF_2019-01-12_2019-06-10_1849_1977_3129_3257_28_108_48_128.npz,33.0,0.046
2160,target_31TBF_2019-01-12_2019-06-10_2489_2617_1337_1465_38_118_20_100.npz,37.0,0.051
2161,target_31TBF_2019-01-12_2019-06-10_2873_3001_1849_1977_44_124_28_108.npz,41.0,0.05
2162,target_31TBF_2019-01-12_2019-06-10_3385_3513_4537_4665_52_132_70_150.npz,31.0,0.018
2163,target_31TBF_2019-01-12_2019-06-10_441_569_441_569_6_86_6_86.npz,45.0,0.021
2164,target_31TBF_2019-01-12_2019-06-10_57_185_1977_2105_0_80_30_110.npz,43.0,0.03
2165,target_31TBF_2019-01-22_2019-06-20_185_313_3385_3513_2_82_52_132.npz,36.0,0.025
2166,target_31TBF_2019-01-22_2019-06-20_1977_2105_1849_1977_30_110_28_108.npz,40.0,0.041
2167,target_31TBF_2019-01-22_2019-06-20_2105_2233_3897_4025_32_112_60_140.npz,32.0,0.041
2168,target_31TBF_2019-01-22_2019-06-20_2873_3001_1977_2105_44_124_30_110.npz,43.0,0.067
2169,target_31TBF_2019-01-22_2019-06-20_3129_3257_2105_2233_48_128_32_112.npz,48.0,0.076
2170,target_31TBF_2019-01-22_2019-06-20_3385_3513_3257_3385_52_132_50_130.npz,45.0,0.048
2171,target_31TBF_2019-01-22_2019-06-20_3513_3641_3385_3513_54_134_52_132.npz,44.0,0.063
2172,target_31TBF_2019-01-22_2019-06-20_5049_5177_4409_4537_78_158_68_148.npz,36.0,0.064
2173,target_31TBF_2019-02-01_2019-06-30_2361_2489_1081_1209_36_116_16_96.npz,36.0,0.054
2174,target_31TBF_2019-02-11_2019-07-10_1465_1593_1977_2105_22_102_30_110.npz,37.0,0.027
2175,target_31TBF_2019-02-11_2019-07-10_2489_2617_1209_1337_38_118_18_98.npz,33.0,0.064
2176,target_31TBF_2019-02-11_2019-07-10_3257_3385_5049_5177_50_130_78_158.npz,32.0,0.053
2177,target_31TBF_2019-02-11_2019-07-10_4665_4793_1081_1209_72_152_16_96.npz,27.0,0.044
2178,target_31TBF_2019-02-11_2019-07-10_57_185_4921_5049_0_80_76_156.npz,27.0,0.046
2179,target_31TBF_2019-02-11_2019-07-10_57_185_5305_5433_0_80_82_162.npz,24.0,0.03
2180,target_31TBF_2019-02-21_2019-07-20_1465_1593_569_697_22_102_8_88.npz,28.0,0.053
2181,target_31TBF_2019-02-21_2019-07-20_2489_2617_2489_2617_38_118_38_118.npz,33.0,0.043
2182,target_31TBF_2019-02-21_2019-07-20_2617_2745_953_1081_40_120_14_94.npz,25.0,0.038
2183,target_31TBF_2019-02-21_2019-07-20_2873_3001_3257_3385_44_124_50_130.npz,32.0,0.06
2184,target_31TBF_2019-02-21_2019-07-20_3001_3129_697_825_46_126_10_90.npz,23.0,0.023
2185,target_31TBF_2019-02-21_2019-07-20_313_441_2233_2361_4_84_34_114.npz,28.0,0.024
2186,target_31TBF_2019-02-21_2019-07-20_313_441_4793_4921_4_84_74_154.npz,19.0,0.019
2187,target_31TBF_2019-02-21_2019-07-20_441_569_4921_5049_6_86_76_156.npz,24.0,0.044
2188,target_31TBF_2019-02-21_2019-07-20_4665_4793_1977_2105_72_152_30_110.npz,19.0,0.047
2189,target_31TBF_2019-02-21_2019-07-20_5049_5177_1977_2105_78_158_30_110.npz,20.0,0.05
2190,target_31TBF_2019-02-21_2019-07-20_569_697_4537_4665_8_88_70_150.npz,13.0,0.011
2191,target_31TBF_2019-02-21_2019-07-20_697_825_4281_4409_10_90_66_146.npz,24.0,0.039
2192,target_31TBF_2019-02-26_2019-07-25_1209_1337_2745_2873_18_98_42_122.npz,27.0,0.037
2193,target_31TBF_2019-02-26_2019-07-25_1849_1977_1721_1849_28_108_26_106.npz,26.0,0.028
2194,target_31TBF_2019-02-26_2019-07-25_2105_2233_3385_3513_32_112_52_132.npz,25.0,0.061
2195,target_31TBF_2019-02-26_2019-07-25_2873_3001_569_697_44_124_8_88.npz,29.0,0.043
2196,target_31TBF_2019-02-26_2019-07-25_4793_4921_4665_4793_74_154_72_152.npz,35.0,0.063
2197,target_31TBF_2019-02-26_2019-07-25_57_185_2105_2233_0_80_32_112.npz,27.0,0.025
2198,target_31TBF_2019-02-26_2019-07-25_825_953_2233_2361_12_92_34_114.npz,28.0,0.047
2199,target_31TBF_2019-03-03_2019-07-30_185_313_4921_5049_2_82_76_156.npz,11.0,0.01
2200,target_31TBF_2019-03-03_2019-07-30_2489_2617_5305_5433_38_118_82_162.npz,22.0,0.027
2201,target_31TBF_2019-03-03_2019-07-30_2617_2745_5305_5433_40_120_82_162.npz,22.0,0.037
2202,target_31TBF_2019-03-03_2019-07-30_569_697_5305_5433_8_88_82_162.npz,18.0,0.026
2203,target_31TBF_2019-03-03_2019-07-30_825_953_1721_1849_12_92_26_106.npz,16.0,0.014
2204,target_31TBF_2019-03-13_2019-08-09_1849_1977_3513_3641_28_108_54_134.npz,15.0,0.021
2205,target_31TBF_2019-03-13_2019-08-09_2745_2873_4537_4665_42_122_70_150.npz,20.0,0.031
2206,target_31TBF_2019-03-18_2019-08-14_2233_2361_1465_1593_34_114_22_102.npz,17.0,0.043
2207,target_31TBF_2019-03-18_2019-08-14_697_825_1209_1337_10_90_18_98.npz,12.0,0.014
2208,target_31TBF_2019-03-23_2019-08-19_1209_1337_4281_4409_18_98_66_146.npz,18.0,0.021
2209,target_31TBF_2019-04-02_2019-08-29_185_313_5177_5305_2_82_80_160.npz,13.0,0.023
2210,target_31TBF_2019-04-22_2019-09-18_1849_1977_2489_2617_28_108_38_118.npz,15.0,0.011
2211,target_31TBF_2019-04-22_2019-09-18_4921_5049_1337_1465_76_156_20_100.npz,11.0,0.023
2212,target_31TBF_2019-05-02_2019-09-28_441_569_4153_4281_6_86_64_144.npz,23.0,0.009
2213,target_31TBF_2019-05-02_2019-09-28_697_825_1465_1593_10_90_22_102.npz,20.0,0.013
2214,target_31TBF_2019-05-12_2019-10-08_4665_4793_1209_1337_72_152_18_98.npz,20.0,0.017
2215,target_31TBF_2019-05-12_2019-10-08_4921_5049_1593_1721_76_156_24_104.npz,15.0,0.011
2216,target_31TBF_2019-05-12_2019-10-08_697_825_953_1081_10_90_14_94.npz,19.0,0.008
2217,target_31TBF_2019-05-22_2019-10-18_1849_1977_4153_4281_28_108_64_144.npz,33.0,0.017
2218,target_31TBF_2019-05-22_2019-10-18_2489_2617_1977_2105_38_118_30_110.npz,31.0,0.016
2219,target_31TBF_2019-05-22_2019-10-18_4665_4793_1849_1977_72_152_28_108.npz,28.0,0.034
2220,target_31TBF_2019-09-29_2020-02-25_2745_2873_825_953_42_122_12_92.npz,54.0,0.02
2221,target_31TBF_2019-09-29_2020-02-25_4153_4281_1081_1209_64_144_16_96.npz,53.0,0.029
2222,target_31TBF_2019-09-29_2020-02-25_4665_4793_3897_4025_72_152_60_140.npz,46.0,0.031
2223,target_31TBF_2019-10-19_2020-03-16_2361_2489_1593_1721_36_116_24_104.npz,48.0,0.02
2224,target_31TBF_2019-10-19_2020-03-16_5305_5433_1593_1721_82_162_24_104.npz,52.0,0.033
2225,target_31TBF_2019-11-08_2020-04-05_4153_4281_953_1081_64_144_14_94.npz,49.0,0.04
2226,target_31TBF_2019-11-18_2020-04-15_5305_5433_3129_3257_82_162_48_128.npz,49.0,0.034
2227,target_31TBF_2019-12-08_2020-05-05_4537_4665_4281_4409_70_150_66_146.npz,56.0,0.042
2228,target_31TBF_2019-12-23_2020-05-20_2617_2745_5049_5177_40_120_78_158.npz,62.0,0.034
2229,target_31TBF_2019-12-23_2020-05-20_313_441_1849_1977_4_84_28_108.npz,62.0,0.03
2230,target_31TBF_2019-12-23_2020-05-20_5305_5433_3257_3385_82_162_50_130.npz,66.0,0.051
2231,target_31TBF_2019-12-28_2020-05-25_569_697_5305_5433_8_88_82_162.npz,59.0,0.039
2232,target_31TCG_2017-07-01_2017-11-27_1593_1721_1465_1593_24_104_22_102.npz,28.0,0.027
2233,target_31TCG_2017-09-19_2018-02-15_4537_4665_825_953_70_150_12_92.npz,41.0,0.02
2234,target_31TCG_2017-10-09_2018-03-07_3513_3641_4537_4665_54_134_70_150.npz,41.0,0.059
2235,target_31TCG_2017-11-08_2018-04-06_2617_2745_185_313_40_120_2_82.npz,59.0,0.116
2236,target_31TCG_2017-11-08_2018-04-06_2617_2745_441_569_40_120_6_86.npz,56.0,0.039
2237,target_31TCG_2017-11-08_2018-04-06_2873_3001_441_569_44_124_6_86.npz,55.0,0.056
2238,target_31TCG_2017-11-08_2018-04-06_3129_3257_313_441_48_128_4_84.npz,49.0,0.059
2239,target_31TCG_2017-11-08_2018-04-06_3897_4025_1465_1593_60_140_22_102.npz,51.0,0.015
2240,target_31TCG_2017-11-08_2018-04-06_4153_4281_1593_1721_64_144_24_104.npz,52.0,0.022
2241,target_31TCG_2017-11-08_2018-04-06_5049_5177_4921_5049_78_158_76_156.npz,53.0,0.036
2242,target_31TCG_2017-11-28_2018-04-26_2105_2233_4665_4793_32_112_72_152.npz,45.0,0.041
2243,target_31TCG_2017-11-28_2018-04-26_3513_3641_1721_1849_54_134_26_106.npz,49.0,0.048
2244,target_31TCG_2017-11-28_2018-04-26_3641_3769_1593_1721_56_136_24_104.npz,50.0,0.045
2245,target_31TCG_2017-11-28_2018-04-26_4025_4153_1465_1593_62_142_22_102.npz,56.0,0.032
2246,target_31TCG_2018-02-06_2018-07-05_3641_3769_57_185_56_136_0_80.npz,38.0,0.024
2247,target_31TCG_2018-04-17_2018-09-13_3769_3897_313_441_58_138_4_84.npz,11.0,0.033
2248,target_31TCG_2018-05-07_2018-10-03_4281_4409_1721_1849_66_146_26_106.npz,10.0,0.009
2249,target_31TCG_2018-05-12_2018-10-08_2361_2489_2617_2745_36_116_40_120.npz,10.0,0.012
2250,target_31TCG_2018-05-12_2018-10-08_4153_4281_1849_1977_64_144_28_108.npz,18.0,0.014
2251,target_31TCG_2018-05-17_2018-10-13_4025_4153_953_1081_62_142_14_94.npz,10.0,0.024
